"repo","skill","group","path","status","trigger","bytes","desc_tokens","skill_tokens","description"
"MengTo/Skills","design-action-combat","agent-skills/game-development","agent-skills/game-development/design-action-combat","absent","auto","1897","58","475","Design, implement, tune, or test readable tactical action combat for web games. Use for attack timing, guard and dodge windows, hit contact, posture, lock-on, weapons, boss phases, combat feedback, and deterministic combat tests."
"MengTo/Skills","design-first-ui-prompting","agent-skills/ui","agent-skills/ui/design-first-ui-prompting","absent","auto","6682","52","800","Use when you need design-first, spec-driven, skimmable prompts for UI generation. Covers prompt structure, constraints, variations, typography/spacing rules, and iteration workflow for consistent UI outputs."
"MengTo/Skills","design-game-encounters","agent-skills/game-development","agent-skills/game-development/design-game-encounters","absent","auto","1053","52","264","Design, implement, tune, or test Three.js action-game encounters. Use for arena layout, enemy composition, spawn pacing, objectives, boss phases, reward cadence, encounter fixtures, and difficulty validation."
"MengTo/Skills","dither-background","agent-skills/web-design","agent-skills/web-design/dither-background","absent","auto","7144","76","1786","Create a dark monochrome procedural background with enlarged square pixels and visible Bayer-style ordered dithering. Use when a page needs an atmospheric near-black dither field, broad organic waves or cloud masses, and restrained gray-white highlights behind framed UI, hero content, or data overlays."
"MengTo/Skills","dither-laser-dark-mode","agent-skills/web-design","agent-skills/web-design/dither-laser-dark-mode","absent","auto","4346","37","1087","Create a dark premium design system that combines near-black surfaces, subtle ordered-dither texture, and a thin accent-colored laser atmosphere."
"MengTo/Skills","documentary-brutalist-agency","agent-skills/web-design","agent-skills/web-design/documentary-brutalist-agency","absent","auto","4392","72","1060","Create or redesign creative agency, production studio, architecture, culture, and portfolio websites with billboard typography, hard black-and-white chapters, exposed grids, documentary imagery, irregular collages, restrained parallax, brutalist navigation, and accessible FAQ controls."
"MengTo/Skills","editorial-portfolio-chapters","agent-skills/web-design","agent-skills/web-design/editorial-portfolio-chapters","absent","auto","24205","76","1147","Create or redesign creative-studio, agency, photographer, artist, and portfolio websites where project work leads the story. Use for dark editorial shells, full-bleed campaign media, color-coded case-study chapters, oversized service typography, restrained project reveals, and a decisive contact finale."
"MengTo/Skills","editorial-service-booking","agent-skills/web-design","agent-skills/web-design/editorial-service-booking","absent","auto","4661","81","1126","Create or redesign appointment-based service websites for salons, barbers, spas, wellness studios, clinics, and hospitality brands. Use for warm editorial layouts, serif-led identity, documentary portrait crops, calm treatment selectors, location-aware booking, and operational states that remain elegant and trustworthy."
"MengTo/Skills","editorial-tech","agent-skills/web-design","agent-skills/web-design/editorial-tech","absent","auto","4313","44","1079","Blend editorial magazine composition with precision product-tech detailing using asymmetrical grids, cinematic media bands, mono utility labels, and restrained accent color."
"MengTo/Skills","elevenlabs-tts","agent-skills/codex","agent-skills/codex/elevenlabs-tts","absent","auto","3610","83","903","Generate ElevenLabs text-to-speech audio from scripts or inline text using local voice profiles. Use when the user asks for ElevenLabs, text-to-speech, TTS, narration, voiceover, speech audio, or voice generation; load voice names, voice ids, emails, owners, and account-specific defaults only from local config outside the skill."
"MengTo/Skills","falling-leaves","agent-skills/web-design","agent-skills/web-design/falling-leaves","absent","auto","8033","138","2009","Build falling leaves that read as leaves, with each one tumbling on its own axis so it presents a face, thins to an edge, and opens out again, and with its sideways slip driven by that same tumble. Covers the 2-D canvas build and the instanced-3-D variant, where leaves are recycled from, density-versus-count maths, depth layering, colour under a tone-mapped composite, reduced motion, and visibility pausing. Use for autumn maple, sakura petals, blossom, ash, snowfall shapes, or any drifting foliage where a generic particle field reads as confetti."
"MengTo/Skills","framed-grid-layout","agent-skills/web-design","agent-skills/web-design/framed-grid-layout","absent","auto","4929","66","1233","Create minimal framed grid layouts with thin visible boundary lines, L-shaped corner brackets, subtle diagonal line texture, and strict section alignment. Use when asked for clean, neutral, precise, structured, editorial, technical, or guide-border web layouts."
"MengTo/Skills","framed-tech-dark-border-gradient","agent-skills/web-design","agent-skills/web-design/framed-tech-dark-border-gradient","absent","auto","4933","40","1234","Create a framed dark technical design system with border-gradient shells, asymmetrical grid panels, mono utility labeling, and restrained monochrome atmosphere."
"MengTo/Skills","funky-purple-container-tech","agent-skills/web-design","agent-skills/web-design/funky-purple-container-tech","absent","auto","4503","41","1126","Create a dark container-led technical design system with fuchsia-purple accents, layered rounded shells, crisp frame lines, and playful futuristic focal objects."
"MengTo/Skills","generate-reference-inspired-brand-worlds","agent-skills/codex","agent-skills/codex/generate-reference-inspired-brand-worlds","absent","auto","7990","120","1998","Generate multiple original brand campaign worlds from a supplied visual reference while controlling how close the new work feels without copying protected signature elements. Use when a user provides a brand identity image, poster, editorial campaign, moodboard, or generated concept and asks for inspired alternatives, several distinct brands in one visual family, a closer-to-reference V2, exact wordmarks inside images, or originality-safe image-generation prompts and outputs."
"MengTo/Skills","glass-dark-mode-clock","agent-skills/web-design","agent-skills/web-design/glass-dark-mode-clock","absent","auto","4203","38","1051","Create a dark glass design system with frosted shells, soft beam grids, circular clock-like calibration dials, and precise sci-fi instrument framing."
"MengTo/Skills","glass-dark-ui","agent-skills/web-design","agent-skills/web-design/glass-dark-ui","absent","auto","3237","63","810","Build dark-mode glassmorphism interfaces with readable contrast, frosted surfaces, and gradient borders using a pseudo-element mask. Use when asked for glass cards, frosted dark hero sections, blur panels, or dark UI systems with gradient/glow borders."
"MengTo/Skills","globe-gl","agent-skills/web-design","agent-skills/web-design/globe-gl","absent","auto","1691","52","423","Use when implementing globe.gl (Globe.GL) for 3D globe data visualization with WebGL/ThreeJS, including setup, data layers (points, arcs, polygons, labels), and integration patterns in plain HTML or React."
"MengTo/Skills","globe-particles","agent-skills/web-design","agent-skills/web-design/globe-particles","absent","auto","10188","77","2547","Create a globe-like 3D particle visualization with a dense luminous spherical core and thinner orbital ring or flattened disc. Use when a design needs a premium planetary, orbital, synthesized data-globe effect rendered with real WebGL/Three.js particles, not generic starfields or full page layout changes."
"MengTo/Skills","gooey-blob-system","agent-skills/web-design","agent-skills/web-design/gooey-blob-system","absent","auto","1382","124","346","Create a gooey blob system using SVG filters where multiple shapes merge into a single fluid form. Use overlapping circles combined with a Gaussian blur and color matrix filter to produce a continuous, organic mass. The forms should visually fuse and separate based on proximity. Focus on filter-driven merging (blur + threshold effect), soft organic boundaries with no hard edges, multiple independent shapes behaving as one system, and smooth continuous motion that feels fluid and cohesive."
"MengTo/Skills","gsap","agent-skills/web-design","agent-skills/web-design/gsap","absent","auto","3367","53","792","Use when you need to add or debug professional web animations with GSAP (timelines, ScrollTrigger, stagger, transforms) in HTML/CSS/JS/React. Includes patterns for smooth motion, performance, and common pitfalls."
"MengTo/Skills","gsap-scrolltrigger-storytelling","agent-skills/web-design","agent-skills/web-design/gsap-scrolltrigger-storytelling","absent","auto","4084","44","1021","Build cinematic sticky product storytelling with GSAP ScrollTrigger, progressive UI reveals, scroll-synced animation, smooth interpolation, and immersive section transitions."
"MengTo/Skills","high-contrast-skeuomorphic-clean","agent-skills/web-design","agent-skills/web-design/high-contrast-skeuomorphic-clean","absent","auto","4767","40","1192","Create a high-contrast clean skeuomorphic design system with molded dark surfaces, crisp light separation, tactile inset depth, and restrained signal accents."
"MengTo/Skills","html-to-interaction-prompts","agent-skills/codex","agent-skills/codex/html-to-interaction-prompts","absent","auto","15247","101","3812","Convert a supplied HTML page or generated HTML reference into a screenshot-backed article containing multiple reusable interaction prompts. Use when the user provides an HTML file, exported page, generated-page.html, or local/live reference and asks to extract animation/interactions, create prompts, capture screenshots for each prompt, add them to an article, or commit the resulting article/assets."
"MengTo/Skills","image-first-grid-layout","agent-skills/web-design","agent-skills/web-design/image-first-grid-layout","absent","auto","4605","38","1152","Create an image-led grid design system with full-bleed photography, structural guide lines, anchored content blocks, and restrained technical overlays."
"MengTo/Skills","implement-fog-of-war","agent-skills/codex","agent-skills/codex/implement-fog-of-war","absent","auto","6782","99","1696","Implement, tune, debug, or validate soft wall-aware fog of war and gameplay perception in Three.js action games. Use for orthographic or isometric visibility masks, obstacle-aware line of sight, player and enemy vision ranges, hidden-enemy targeting rules, fog shader artifacts such as spokes or seams, mobile ray budgets, lifecycle and menu-state integration, and deterministic fog-of-war tests."
"MengTo/Skills","iterate-until-verified","agent-skills/codex","agent-skills/codex/iterate-until-verified","absent","auto","7679","97","1906","Apply a prompt-agnostic execution and verification loop to any substantial task while preserving the original request. Use when the user asks to fan out work, use subagents or independent reviewers, loop until done, benchmark against references, apply a harsh critic, compare candidates blind, improve an existing prompt with verification, or continue until explicit quality gates pass."
"MengTo/Skills","landing-page","agent-skills/web-design","agent-skills/web-design/landing-page","absent","auto","5774","52","1371","Use when designing or rewriting a high-converting landing page (single-offer page) for SaaS/apps/services. Covers structure, layout patterns, conversion strategies, copywriting, SEO/AEO, and common pitfalls."
"MengTo/Skills","light-mode-paper-technical","agent-skills/web-design","agent-skills/web-design/light-mode-paper-technical","absent","auto","4241","44","1061","Create a light-mode technical design system with warm paper surfaces, dark outer framing, subtle diagonal texture, precise bracketed geometry, and restrained accent signals."
"MengTo/Skills","liquid-metal-border","agent-skills/web-design","agent-skills/web-design/liquid-metal-border","absent","auto","14315","108","3493","Add and tune animated liquid-metal WebGL borders with the React `metal-fx` package. Use when buttons, icon controls, chips, tabs, cards, or selected surfaces need a metallic active, selected, hover, focus, or premium border; when implementing the MetalFx component from metal.jakubantalik.com; or when troubleshooting its presets, themes, strength, glow, reflections, sizing, radius, animation, accessibility, SSR, or performance."
"MengTo/Skills","marquee-loop","agent-skills/web-design","agent-skills/web-design/marquee-loop","absent","auto","839","16","210","Apply seamless infinite marquee loops using duplicated items."
"MengTo/Skills","masked-reveal","agent-skills/web-design","agent-skills/web-design/masked-reveal","absent","auto","4112","54","1028","Create masked staggered word reveals on scroll with GSAP ScrollTrigger. Use when headings, hero copy, section titles, or editorial text should reveal word-by-word through an overflow mask as they enter the viewport."
"MengTo/Skills","matterjs","agent-skills/web-design","agent-skills/web-design/matterjs","absent","auto","2293","50","574","Use when implementing 2D physics interactions with Matter.js, including Engine/World setup, Render/Runner configuration, adding bodies and constraints, and scroll/interaction-friendly canvas scenes."
"MengTo/Skills","mesh-gradient-dark-blue-clean","agent-skills/web-design","agent-skills/web-design/mesh-gradient-dark-blue-clean","absent","auto","10182","85","2546","Create a futuristic, premium, clean dark-blue mesh-gradient design system across background rendering, hero shell, navigation, floating nodes, framed sections, CTAs, and motion. Use when the interface needs a near-black navy foundation, procedural blue mesh atmosphere, disciplined minimal structure, and infrastructural or planetary depth."
"MengTo/Skills","nested-container-clean-agency","agent-skills/web-design","agent-skills/web-design/nested-container-clean-agency","absent","auto","4062","44","1016","Create a clean agency design system built from nested containers, with an outer editorial shell, inset dark feature blocks, rounded premium cards, and restrained accent color."
"MengTo/Skills","nested-container-frames","agent-skills/web-design","agent-skills/web-design/nested-container-frames","absent","auto","1300","120","325","Create a container-in-container layout system using nested frames. Use an outer centered container with visible vertical boundary lines and corner markers. Inside, place inner containers inset from the edges, each with its own background and rounded frame. Technique: outer container defines global bounds, inner containers use padding to create inset spacing, layered frames (border + background) to separate levels, and consistent spacing between outer frame and inner blocks."
"MengTo/Skills","no-ai-design-slop","agent-skills/ui","agent-skills/ui/no-ai-design-slop","absent","auto","26071","90","1782","Prevent and remove generic AI-generated design defaults, incoherent visual choices, and established UI defects while creating, revising, or reviewing websites, apps, screenshots, mockups, and design code. Use as a passive quality gate during UI work or for an explicit anti-slop cleanup; preserve the chosen art direction instead of forcing a neutral redesign."
"MengTo/Skills","number-details","agent-skills/web-design","agent-skills/web-design/number-details","absent","auto","813","13","204","Add decorative 01, 02, 03 numeric detail markers."
"MengTo/Skills","operational-enterprise-ai","agent-skills/web-design","agent-skills/web-design/operational-enterprise-ai","absent","auto","4877","84","1181","Create or redesign enterprise AI, automation, security, and operations product pages that explain system boundaries, approvals, auditability, exceptions, and rollback. Use for dark cinematic heroes, hairline grids, metric pauses, expandable solution rows, case-study evidence, security proof, and qualified demo or waitlist handoffs."
"MengTo/Skills","optimize-threejs-games","agent-skills/game-development","agent-skills/game-development/optimize-threejs-games","absent","auto","1708","69","427","Profile, diagnose, and improve Three.js or WebGL game performance without regressing gameplay. Use for frame-time drops, CPU/GPU pressure, draw calls, texture and geometry budgets, animation loops, adaptive quality, mobile performance, and browser performance verification."
"MengTo/Skills","optimize-web-animations","agent-skills/codex","agent-skills/codex/optimize-web-animations","absent","auto","8384","142","2096","Profile, audit, and optimize frontend page performance with emphasis on animation work, memory-leak risks, long-session slowdowns, CSS animations, canvas/WebGL requestAnimationFrame loops, marquees, skeletons, GSAP/Three/Matter effects, timers, listeners, and observers. Use when the user asks to make animations performant, pause offscreen animations, look for memory leaks, profile pages that slow the computer over time, fix janky scrolling, reduce CPU/GPU use, or repeat the ""only play in view"" optimization on React/Vite/Next/frontend pages using Codex Browser."
"MengTo/Skills","orange-clean-paper-saas","agent-skills/web-design","agent-skills/web-design/orange-clean-paper-saas","absent","auto","4090","39","1023","Create a clean paper-toned SaaS design system with warm neutrals, orange accent signals, rounded premium forms, and polished product illustration surfaces."
"MengTo/Skills","performance-profiling","agent-skills/codex","agent-skills/codex/performance-profiling","absent","auto","6306","82","1577","Guide performance profiling for Apple platform apps with Instruments, Xcode diagnostics, and MetricKit. Use when investigating app hangs, stutters, high CPU, memory leaks, memory growth, OOM crashes, slow launch, battery drain, thermal issues, App Store performance readiness, or when adding os_signpost and measurement hooks."
"MengTo/Skills","pointer-trail-emitter","agent-skills/web-design","agent-skills/web-design/pointer-trail-emitter","absent","auto","10723","190","2681","Build a cursor trail whose spacing stays constant at any hand speed, by emitting motes per unit of distance travelled rather than on a timer, so a flick draws the same continuous ribbon as a crawl instead of breaking into scattered dots. Covers sub-segment placement, the ring-buffer ordering trap, the idle breath a distance emitter needs, anchoring the trail to the screen in a 3-D scene, scaling scatter against the plane it hangs on, coasting instead of stopping dead, touch and reduced-motion fallbacks, and why moving the emitter to a DOM overlay to raise its z-index costs more than it buys. Use for cursor wisps, pointer sparks, embers, magic trails, comet tails, plankton, dust, or any mote trail that must stay legible however fast the hand moves."
"MengTo/Skills","pricing-page","agent-skills/web-design","agent-skills/web-design/pricing-page","absent","auto","6351","51","1518","Use when designing or rewriting a high-converting SaaS pricing page (structure, plan design, copywriting, SEO/AEO, FAQs, layout patterns, experiments). Includes checklists, templates, and common pitfalls."
"MengTo/Skills","product-proof-saas","agent-skills/web-design","agent-skills/web-design/product-proof-saas","absent","auto","4590","75","1110","Create or redesign SaaS and AI product landing pages where a real workflow, interface, or deterministic demo is the central proof. Use for pale atmospheric shells, product UI in the hero, prompt-to-output stories, audience tabs, compact feature modules, honest pricing comparisons, and FAQ handoffs."
"MengTo/Skills","progressive-blur","agent-skills/web-design","agent-skills/web-design/progressive-blur","absent","auto","6256","62","1564","Create a layered CSS progressive blur (top or bottom) using multiple backdrop-filter masks for depth and softness. Use when asked for “progressive blur”, “gradient blur overlay”, or stepped blur masks that fade from an edge of the viewport."
"MengTo/Skills","publish-project-to-github","agent-skills/codex","agent-skills/codex/publish-project-to-github","absent","auto","9036","104","2259","Package a finished local project into an intentional GitHub repository, create a strong README and visual preview, push it safely, configure a public GitHub Pages URL when the project is compatible, and verify the deployed result. Use when a user asks to upload, publish, open-source, share, or turn a local HTML/CSS/JavaScript experiment or small web project into a documented GitHub repository with a live demo."
"MengTo/Skills","reveal-hover-effect","agent-skills/web-design","agent-skills/web-design/reveal-hover-effect","absent","auto","11135","83","2691","Build cursor-following spotlight reveals that expose a second aligned image through a soft radial mask. Use for hover-to-color, before-and-after, x-ray, material, texture, product-detail, and illustrated hero effects where a desaturated or embossed base image should remain visible while another treatment follows an eased pointer."
"MengTo/Skills","scroll-progress-timeline","agent-skills/web-design","agent-skills/web-design/scroll-progress-timeline","absent","auto","4565","96","1016","Turn any ordered process into a data-driven vertical or horizontal scroll story with a base line, progress fill, active step states, responsive collapse, semantic fallback, and reduced-motion behavior. Use for onboarding, checkout, roadmaps, recipes, case studies, service processes, histories, or narratives where progress through the sequence should become visible while scrolling."
"MengTo/Skills","scroll-scrubbed-visual-sequence","agent-skills/web-design","agent-skills/web-design/scroll-scrubbed-visual-sequence","absent","auto","5246","88","1183","Build reversible scroll-controlled visual transformations with a pinned or sticky stage, normalized progress, and video, image-sequence, canvas, SVG, or DOM renderers. Use for hero transformations, product assembly, interface state walkthroughs, object rotation, diagrams, or photo sequences that must move forward and backward with native scrolling."
"MengTo/Skills","scroll-scrubbed-word-reveal","agent-skills/web-design","agent-skills/web-design/scroll-scrubbed-word-reveal","absent","auto","4682","86","1046","Reveal marked-up text word by word as scroll progress advances, while preserving semantic inline links, emphasis, responsive line wrapping, and reduced-motion readability. Use for headlines, quotes, manifestos, product statements, onboarding messages, or editorial passages where scrolling should pace comprehension rather than simulate typing."
"MengTo/Skills","scroll-world-storytelling","agent-skills/web-design","agent-skills/web-design/scroll-world-storytelling","absent","auto","12751","122","3033","Turn an article, case study, brand narrative, product journey, or long-form story into a cinematic scroll-driven landing page using one of three renderers: scrubbed video, a real-time Three.js world, or semantic HTML/SVG data and typography. Use when the user asks for a scroll world, fly-through landing page, article-to-website transformation, animated planet, data scrollytelling, video-scrubbed page, connected visual journey, or story-led alternative to ordinary stacked sections."
"MengTo/Skills","shaders-cursor-ripples","agent-skills/web-design","agent-skills/web-design/shaders-cursor-ripples","absent","auto","8281","107","2016","Add cursor-following fluid WebGPU distortion over an existing image with the Shaders library's ImageTexture and CursorRipples components. Use when a hero, gallery, or media panel needs a water-ripple mouse effect; when replacing a drifting CSS spotlight or flashlight reveal; or when a prompt says to borrow only the shader interaction from a Shaders.com reference while preserving the current brand, image, copy, and layout."
"MengTo/Skills","ship-web-games","agent-skills/game-development","agent-skills/game-development/ship-web-games","absent","auto","1159","60","290","Package, deploy, and verify a playable Three.js or web game. Use for release builds, asset delivery, private/public deployment, production smoke tests, browser proof, release notes, rollback readiness, and cleanup of temporary QA resources."
"MengTo/Skills","skeuomorphic-ui","agent-skills/web-design","agent-skills/web-design/skeuomorphic-ui","absent","auto","4501","73","1126","Create skeuomorphic web UI surfaces with layered gradients, stacked inner and outer shadows, reflective gradient borders, micro texture, and embossed text or icon details. Use when asked for pressed, carved, tactile, realistic, soft-plastic, soft-metal, or premium physical interface styling."
"MengTo/Skills","solar-duotone-bold","agent-skills/web-design","agent-skills/web-design/solar-duotone-bold","absent","auto","763","11","191","Use Iconify Solar Duotone Bold icon style."
"MengTo/Skills","split-layout-technical","agent-skills/web-design","agent-skills/web-design/split-layout-technical","absent","auto","4310","38","1078","Create a technical split-screen design system with dual panels, fine frame lines, mono metadata, quiet editorial typography, and premium inset surfaces."
"MengTo/Skills","staggered-word-reveal","agent-skills/web-design","agent-skills/web-design/staggered-word-reveal","absent","auto","5087","77","1272","Create subtle editorial word-by-word text reveal animations where each word fades and rises into place once it enters the viewport. Use for premium portfolio headlines, hero copy, section intros, and short marketing text that needs a cinematic staggered reveal with IntersectionObserver or in-view detection."
"MengTo/Skills","stitched-full-page-capture","agent-skills/codex","agent-skills/codex/stitched-full-page-capture","absent","auto","3850","88","963","Capture or repair reliable full-page screenshots for lazy-loaded, scroll-animated, Framer, WebGL/canvas, or reveal-heavy web pages. Use when full-page screenshots are blank, gray, white, sparse, show a tiny content strip, disagree with a working scroll video, or when article evidence/section crops must be derived from a trustworthy full-page image."
"MengTo/Skills","tailwindcss","agent-skills/web-design","agent-skills/web-design/tailwindcss","absent","auto","2967","47","724","Use when designing/implementing UI with Tailwind CSS (layout, typography, responsive, theming, component patterns). Includes quick recipes and conventions for clean, consistent web design."
"MengTo/Skills","tech-green-dark-mode-modern","agent-skills/web-design","agent-skills/web-design/tech-green-dark-mode-modern","absent","auto","4080","42","1020","Create a modern dark-mode technical design system with matte-black surfaces, emerald signal accents, mono system labeling, framed dashboard cards, and restrained glow."
"MengTo/Skills","technical-wireframe-info-layout","agent-skills/web-design","agent-skills/web-design/technical-wireframe-info-layout","absent","auto","4324","42","1081","Create a monochrome technical wireframe design system with exploded 3D structure, connector annotations, sparse information labels, and precise dark diagnostic framing."
"MengTo/Skills","test-playable-web-games","agent-skills/game-development","agent-skills/game-development/test-playable-web-games","absent","auto","1739","67","435","Test a playable browser game end to end with deterministic fixtures and real browser evidence. Use for gameplay QA, regression testing, controls, accessibility, responsive/mobile testing, save flows, console checks, performance smoke tests, and release verification."
"MengTo/Skills","thinking-orbs","agent-skills/web-design","agent-skills/web-design/thinking-orbs","absent","auto","10816","106","2479","Add accessible animated AI loading and agent-status indicators with the React thinking-orbs library. Use when a chat, copilot, voice, search, generation, or tool-running interface needs a semantic working, searching, solving, listening, composing, or shaping state; when replacing a generic spinner with an AI activity orb; or when implementing the library's size, theme, speed, pause, reduced-motion, and canvas behavior."
"MengTo/Skills","threejs","agent-skills/web-design","agent-skills/web-design/threejs","absent","auto","3623","51","894","Use when building or debugging interactive 3D scenes on the web with Three.js (scene/camera/renderer, lights/materials, GLTF loading, controls, performance). Helpful for designers shipping 3D UI moments."
"MengTo/Skills","threejs-landscape","agent-skills/web-design","agent-skills/web-design/threejs-landscape","absent","auto","8617","138","2155","Build a live Three.js landscape that stays quiet behind a subject — a noise heightfield on a polar grid so resolution follows the lens, ground coloured by slope and moisture rather than by texture, instanced GPU grass whose wind costs nothing on the CPU, scattered stones, a gradient sky dome, a star field you can actually see, and a time-of-day system that cross-fades instead of cutting. Use for hero backdrops, product stages, scroll worlds, or any scene where a building, object, or figure has to sit in a place rather than float on a gradient."
"MengTo/Skills","threejs-towers","agent-skills/web-design","agent-skills/web-design/threejs-towers","absent","auto","8388","131","2097","Generate architecture procedurally in Three.js and film it assembling — a small geometry vocabulary that builds pagodas, castles, domes and spires from parameters instead of mesh files, hip roofs with flying eaves driven by a single profile function, and a clipping-plane build animation where everything below a rising line is finished work and scaffolding stands above it. Use for construction studies, architectural title sequences, procedural landmarks, or any hero object that should build itself rather than fade in."
"MengTo/Skills","threejs-weather","agent-skills/web-design","agent-skills/web-design/threejs-weather","absent","auto","8111","131","2028","Put weather into a Three.js scene that reads as weather — rain anchored inside the frustum, a storm that is the rain leaned on rather than a second system, lightning on its own light with thunder scheduled by distance, snow that blows up into blizzards and keeps settling until the ground goes white, wet ground with puddles and splashes, and looping ambience that has no seam. Use for scene atmosphere, seasonal states, hero backdrops, or any world where clear/rain/storm/snow needs to be a control the viewer can turn."
"MengTo/Skills","tune-enemy-ai","agent-skills/game-development","agent-skills/game-development/tune-enemy-ai","absent","auto","1728","61","432","Build, debug, balance, or test combat enemy AI for playable action games. Use for aggro, target selection, navigation, spacing, attack choices, telegraphs, retreats, boss behavior, behavior-state machines, and deterministic AI regression tests."
"MengTo/Skills","unicorn-studio","agent-skills/web-design","agent-skills/web-design/unicorn-studio","absent","auto","2954","39","658","Use when embedding and customizing Unicorn Studio interactive animations on the web (embed, responsive sizing, performance, layering with UI, fallbacks)."
"MengTo/Skills","unsplash-asset-images","agent-skills/media","agent-skills/media/unsplash-asset-images","absent","auto","5207","77","1302","Use when you need to pick high-quality Unsplash images for product/design assets (avatars, headshots, portraits, large website backgrounds, and abstract wallpapers) and output real Unsplash URLs plus practical instructions for producing the right resolutions and aspect ratios (1:1, 4:5, 3:4, 16:9, 9:16)."
"MengTo/Skills","vantajs","agent-skills/web-design","agent-skills/web-design/vantajs","absent","auto","2218","35","523","Use when adding animated WebGL background effects with Vanta.js (setup, parameters, resizing, performance, integration in React/Next.js)."
"MengTo/Skills","video-to-superprompt","agent-skills/codex","agent-skills/codex/video-to-superprompt","absent","auto","5610","104","1403","Turn a reference video into a super detailed recreation or inspiration prompt. Use when the user provides, mentions, uploads, links, or points to a video and asks to analyze the design, UI, animations, transitions, scroll interactions, typography, colors, assets, WebGL/Three.js, storytelling, section-by-section behavior, or to create a prompt/article that recreates the page, app, interaction, or motion system."
"MengTo/Skills","web-technique-to-skill","agent-skills/codex","agent-skills/codex/web-technique-to-skill","absent","auto","17312","198","4328","Turn a visual or interaction technique you already built into a reusable web-design skill, by isolating the one mechanism that makes it work while reproducing its approved reference exactly around that focus, and packaging it with a demo that proves both the mechanism and the visual fidelity. Covers finding the mechanism, naming the technique plainly, disclosing the verified runtime and renderer, auditing reference layers, carrying real numbers instead of adjectives, preserving owned staging, keeping expensive gotchas, declaring the boundary against neighbouring skills, and browser-verifying before claiming it works. Use when a page, canvas scene, shader, scroll effect, layout system, or hover interaction turned out well and should become a skill rather than staying in one project."
"MengTo/Skills","webgl-3d-object","agent-skills/web-design","agent-skills/web-design/webgl-3d-object","absent","auto","6800","75","1700","Create a real 3D WebGL object with geometric mesh depth, physically based material, directional and ambient lighting, perspective camera, subtle rotation, and floating motion. Use when a page needs a faceted 3D hero object or product-like visual with real lighting instead of CSS transform tricks."
"MengTo/Skills","webgl-landing-steering","agent-skills/web-design","agent-skills/web-design/webgl-landing-steering","absent","auto","5628","58","1318","Use when creating or refining WebGL-heavy landing pages and you need to steer toward a specific visual outcome (premium, technical, playful, cinematic) while balancing conversion clarity, performance, and implementation complexity."
"MengTo/Skills","webgl-laser","agent-skills/web-design","agent-skills/web-design/webgl-laser","absent","auto","9713","72","2429","Create a fixed full-screen WebGL laser background effect with a thin white-hot vertical core, restrained brand-colored halo, and soft smoky fog around the beam. Use only for laser background effects, not full page layout, copy, generic hero scenes, particles, or unrelated motion systems."
"MengTo/Skills","write-like-meng-on-x","agent-skills/codex","agent-skills/codex/write-like-meng-on-x","absent","auto","7989","124","1998","Write, rewrite, review, or continuously refine X/Twitter posts in Meng To's current voice using his deduplicated authored-post corpus, personal and product context, shared resources, and Content repo evidence. Use when asked to improve a tweet in Meng's tone, draft an original post, reply, thread, resource share, or quote post as Meng, check whether an angle repeats an earlier post, study Meng's writing style, ingest another 20-50 authored posts, or hone the reusable Meng X voice profile."
"MengTo/Skills","x-bookmark-quote-posts","agent-skills/codex","agent-skills/codex/x-bookmark-quote-posts","absent","auto","9523","94","2381","Check a user's latest X/Twitter bookmarks and turn recent saved posts into source-backed quote-post drafts calibrated against the user's latest 100 authored posts. Use when asked to review X bookmarks, create quote posts from bookmarks, refresh a bookmark quote queue, run a bookmark quote automation, study a user's X voice, or write first-person quote posts from X sources."
"Owl-Listener/designer-skills","a-b-test-design","prototyping-testing/skills","prototyping-testing/skills/a-b-test-design","absent","auto","1933","51","484","Design an A/B experiment — hypothesis, variants, primary metric, and sample size. Use when a change can be measured quantitatively at scale. For observing behaviour qualitatively, use `test-scenario`."
"Owl-Listener/designer-skills","accessibility-audit","design-systems/skills","design-systems/skills/accessibility-audit","absent","auto","1415","70","354","Audit an existing interface against WCAG, producing findings with severity ratings and remediation steps. Use when you have a design or build to assess now. Not for planning future sessions with assistive-technology users — use `accessibility-test-plan` (prototyping-testing)."
"Owl-Listener/designer-skills","accessibility-test-plan","prototyping-testing/skills","prototyping-testing/skills/accessibility-test-plan","absent","auto","1956","62","489","Plan accessibility testing — assistive technologies, participant criteria, WCAG coverage, and session protocol. Use when scheduling testing with real AT users. Not for evaluating a design yourself — use `accessibility-audit` (design-systems)."
"Owl-Listener/designer-skills","aesthetic-usability","ui-design/skills","ui-design/skills/aesthetic-usability","absent","auto","2760","76","690","Apply the Aesthetic-Usability Effect — polished, consistent interfaces are perceived as more usable and forgive minor friction. Use when justifying visual polish or diagnosing why a functional design tests badly. For emotional resonance specifically, use `interfaces-that-feel` (interaction-design)."
"Owl-Listener/designer-skills","affinity-diagram","design-research/skills","design-research/skills/affinity-diagram","absent","auto","2113","58","529","Cluster many qualitative data points into themes and insight statements. Use when synthesising across multiple sessions or sources. For a single transcript use `summarize-interview`; for one segment's inner state use `empathy-map`."
